linhas,date,from_stop_id,from_stop_lat,from_stop_lng,to_stop_id,to_stop_lat,to_stop_lng,dist,X00,X01,X02,X03,X04
N101-11-0,20171006,480012890,-23.515335,-46.694485,480012891,-23.515448,-46.694033,73,28.3740009216028,40.470412549383,32.6694247042802,33.0262022312539,28.446658167275
N101-11-0,20171006,480014936,-23.520355,-46.699794,480012944,-23.516096,-46.698018,954,30.1003954571992,25.4206878539694,18.8710349143735,16.6550655407023,11.3510204081633
N101-11-0,20171006,60016462,-23.522107,-46.663248,700016455,-23.523672,-46.660046,516,30.8849126521969,28.3533562998883,34.8674696601646,28.684271007709,30.4396197522196
N101-11-0,20171006,60016884,-23.51895,-46.676385,60016892,-23.52059,-46.67356,470,25.4950312959919,25.1348031118982,33.2015249999653,25.4312986771224,33.6504137767947
N101-11-0,20171006,800012682,-23.540606,-46.632592,800016491,-23.547309,-46.63028,994,6.26987704353348,24.1499719518105,12.7062830050132,14.0688848613878,16.24
N101-11-0,20171006,800012682,-23.540606,-46.632592,800016494,-23.546826,-46.630612,933,37.4291400176228,35.6159092229179,32.2302480599862,31.1799645043614,27.2844310796392
N101-11-0,20171006,800012682,-23.540606,-46.632592,800016521,-23.54674,-46.630261,956,33.8633738637705,31.0716049382716,17.0550976138829,37.7266714505382,18.7609756097561
N101-11-0,20171006,800012998,-23.542566,-46.63465,800012682,-23.540606,-46.632592,276,31.6824424857931,30.0442853132323,27.2190554150796,27.4397111069035,24.2762794099728
N101-11-0,20171006,800016491,-23.547309,-46.63028,8000224,-23.543344,-46.626942,1147,23.4757924455662,34.53,34.0713633186184,36.2065573770492,43.4057142857143
N101-11-1,20171006,480012868,-23.51997,-46.701516,480014936,-23.520355,-46.699794,272,16.0584205291426,22.48,12.08,19.95,NA
N101-11-1,20171006,480012868,-23.51997,-46.701516,480014935,-23.520279,-46.699979,251,19.7468680047046,10.2807695189749,14.1053809374318,9.30857192980647,NA
N101-11-1,20171006,480012887,-23.51517,-46.695703,4814506,-23.514784,-46.698693,264,39.5330308913668,35.4417942496073,27.2614227057188,42.6342553152958,NA
N102-11-0,20171006,670010133,-23.544576,-46.643782,670016862,-23.546957,-46.642914,422,18.2936474302762,16.2272754369419,13.9046636906904,16.7968166804298,17.1127323267187
N102-11-0,20171006,670016688,-23.548963,-46.642538,670016564,-23.551369,-46.64416,338,28.0349792647999,18.6698421772331,20.0044773861746,22.8938667037093,24.6913043478261
N102-11-0,20171006,6714596,-23.552112,-46.638943,8010156,-23.552289,-46.63355,557,12.5152192727682,22.2067296047232,24.6900971549688,24.416904541355,25.9199057315277
N102-11-0,20171006,6714596,-23.552112,-46.638943,800016949,-23.548977,-46.631206,1089,18.4875597849228,22.5157642157956,21.966998565108,29.6815059337313,22.0966835661126
N102-11-0,20171006,800015053,-23.546618,-46.632182,800016538,-23.5468,-46.630001,697,19.1267093520884,12.9886527527001,26.0953419055602,7.10638016989925,31.05
N102-11-0,20171006,800016949,-23.548977,-46.631206,800016492,-23.547152,-46.630393,702,27.8614149202651,22.7357179554389,25.1149390908799,19.180596549941,23.7466813531222
N102-11-0,20171006,800016949,-23.548977,-46.631206,800016549,-23.547245,-46.62962,791,24.7751552795031,32.2957128236242,29.7099926410762,35.9599723654301,24.0452830188679
N102-11-1,20171006,700016624,-23.538419,-46.647364,700013962,-23.534019,-46.6524,634,18.6782608695652,18.3660986610982,26.7648753918743,19.0606840288673,17.8478873239437
N102-11-1,20171006,800012730,-23.546566,-46.636392,6714583,-23.543881,-46.638187,772,21.6216774546634,21.2035070266086,24.8984111847383,24.5429371543451,20.1797733360557
N102-11-1,20171006,800016506,-23.547451,-46.630072,800016589,-23.550033,-46.631332,900,16.5024117312985,25.5643765711608,26.5092676675151,26.6749175491684,8.65102040816327
N103-11-0,20171006,480014935,-23.520279,-46.699979,480012944,-23.516096,-46.698018,975,16.4941760001352,30.9082557261689,23.4939261716433,34.9415521464572,26.7882352941176
N103-11-0,20171006,640000514,-23.486567,-46.726323,640000362,-23.489142,-46.729121,1024,34.3714898619417,38.0462225608055,33.7011494842387,16.0192061955469,NA
N103-11-0,20171006,6415300,-23.505146,-46.718575,480012877,-23.511052,-46.705493,1867,27.8995124152251,29.9762777459611,31.5694893420709,32.5509855261862,38.3415501069607
N103-11-1,20171006,4814506,-23.514784,-46.698693,480012882,-23.51367,-46.702881,389,14.1818851446362,26.1872138921331,25.8714397385192,34.4291870413204,28.6712216061527
N103-11-1,20171006,640000363,-23.489077,-46.728807,640000514,-23.486567,-46.726323,1358,33.1857780433654,31.5295909804829,38.4759417948896,13.1288326791126,40.7445555182825
N104-11-0,20171006,640000382,-23.484536,-46.722711,640000380,-23.482796,-46.722878,273,26.461221824582,21.7589199357594,30.5795680765766,34.5292670114971,36.4479234440788
N104-11-0,20171006,640000487,-23.482531,-46.72085,640000498,-23.481729,-46.716868,397,11.2046300403152,13.8347722777574,18.7028231650909,25.9629615130687,32.6436232810752
