"","Linha","Tot.Passageiros.Transportados"
"1","N10511 - TERM CACHOEIRINHA/TERM LAPA",277
"2","N14311 - METRO BARRA FUNDA/MORRO GRANDE",69
"15","N10111 - TERM LAPA/TERM PQ D PEDRO II",279
"16","N10211 - TERM LAPA/TERM PQ D PEDRO II",400
"17","N10311 - TERM PIRITUBA/TERM LAPA",123
"18","N10411 - TERM PIRITUBA/TERM LAPA",299
"19","N10611 - T PQ D PEDRO /MET BARRA FUNDA",212
"20","N13111 - TERM LAPA/VILA PIAUI",31
"21","N13211 - TERM PIRITUBA/PQ SAO DOMINGOS",41
"22","N13311 - TERM PIRITUBA/CID D ABRIL 3ª G",46
"23","N13411 - TERM CACHOEIRINHA/TAIPAS",150
"24","N13511 - TERM PIRITUBA/JD DONARIA",178
"25","N13611 - TERM LAPA/MORRO DOCE",177
"93","N20111 - TERM PQ D PEDRO/METRO TUCURUVI",221
"94","N20211 - MET SANTANA/TERM PINHEIROS",299
"95","N20311 - MET TUCURUVI/TERM PQ D PEDRO",478
"96","N20411 - METRO TUCURUVI/TERM PQ D PEDRO",229
"97","N20511 - TERM CACHOEIRINHA/TERM PINHEIR",304
"98","N20611 - TERM CASA VERDE/METRO SANTANA",108
"99","N20711 - TERM CASA VERDE/TERM PQ D PEDR",197
"100","N20911 - TERM CACHOEIRINHA/TERM SANTANA",219
"101","N23311 - METRO SANTANA/VILA SABRINA",71
"102","N23511 - METRO SANTANA/PEDRA BRANCA",61
"103","N23611 - METRO SANTANA/JARDIM ANTARTICA",149
"104","N23711 - METRO TUCURUVI/EDU CHAVES",56
"105","N23811 - METRO SANTANA/CEM PQ DOS PINHE",151
"106","N23911 - METR TUCURUVI/VILA NOVA GALVAO",51
"107","N24011 - METRO SANTANA/CACHOEIRA",162
"108","N24211 - METRO SANTANA/JD CAMPO LIMPO",82
"109","N24311 - METRO SANTANA/JARDIM BRASIL",80
"110","N24411 - METRO TUCURUVI/JD FLOR DE MAIO",127
"111","N24511 - METRO SANTANA/JARDIM PERY ALTO",100
"209","CT0101 - CIRCULAR TURISMO",44
"210","N30111 - TERM A E CARVALHO/T P D PEDRO",106
"211","N30211 - T A E CARVALHO/T PQ D PEDRO II",291
"212","N30711 - TERMP Q D PEDRO II/TERM PINHEI",564
"213","N30811 - METRO ITAQUERA/TERM PQ D PEDRO",425
"214","N40111 - TERM VL CARRAO/T PQ D PEDRO II",221
"215","N40411 - TERM SAO MATEUS/TERM PENHA",318
"225","N30111 - TERM A E CARVALHO/T P D PEDRO",626
"226","N30211 - T A E CARVALHO/T PQ D PEDRO II",205
"227","N30311 - T A E CARVALHO/TERM ARICANDUVA",45
"228","N30411 - TER SAO MIGUEL/TERM ARICANDUVA",244
"229","N30511 - TERM SAO MIGUEL/CPTM GUAIANAZE",94
"230","N30611 - TERM SAO MIGUEL/METRO ITAQUERA",154
"231","N30811 - METRO ITAQUERA/TERM PQ D PEDRO",419
"232","N33111 - TERM A E CARVALHO/OLIVEIRINHA",234
"233","N33411 - T A E CARVALHO/CPTM GUAIANAZES",222
"234","N33511 - TERM PENHA/ERMELINO MATARAZZO",27
"235","N33611 - T SAO MIGUEL/JD CARMARGO VELHO",73
"236","N33711 - T SAO MIGUEL/JD CAMARGO VELHO",64
"237","N33911 - METRO ITAQUERA/ARTUR ALVIM",23
"238","N34011 - METRO ITQUERA/JD SANTO ANTONIO",98
"239","N34211 - TERM PENHA/JARDIM DANFER",28
"240","N34311 - T A E CARVALHO/METRO ITAQUERA",54
"241","RNOT11 - RESERVA NOTRNA",1
"342","N40211 - METRO ITAQUERA/TERM VL CARRAO",93
"343","N40511 - TERM V CARRAO/METRO ITAQUERA",175
"359","N40311 - T CID TIRADENTES/METRO ITAQUER",539
"360","N40611 - TERM CID TIRADENTES/T S MATEUS",225
"361","N40711 - TERM V CARRAO/METRO BELEM",75
"362","N43111 - TER SAO MATEUS/JD DA CONQUISTA",69
